Insect family,Insect genus,Insect species,Plant family,Plant genus/species,Plant biostatus,Institute,Catalog number,Region,Locality,Year
Aphididae,Myzus,Myzus ornatus,Acanthaceae,Aphelandra,Exotic,PCNZ,,Wellington,"Levin, HRC",1977
Aphididae,Myzus,Myzus persicae,Acanthaceae,Aphelandra,Exotic,PANZ,,Auckland,Ellerslie,1979
Aphididae,Myzus,Myzus ornatus,Acanthaceae,Pachystachys lutea,Exotic,PANZ,,Hawkes Bay,Napier,1978
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Thunbergia,Exotic,NZAC,NZAC02013319,Auckland,"Auckland, Mt Albert Research Centre",1980
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Thunbergia,Exotic,NZAC,NZAC02013389,Auckland,"Auckland, Mt Albert Research Centre",1980
Coccidae,Saissetia,Saissetia coffeae,Acanthaceae,Thunbergia,Exotic,NZAC,NZAC02013975,Auckland,"Auckland, Mt Albert Research Centre",1980
Coccidae,Saissetia,Saissetia oleae,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013837,Auckland,"Hauraki Gulf, Rangitoto I",1934
Coccidae,Saissetia,Saissetia coffeae,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013675,Bay of Plenty,"Whakatane, Ohiwa Harbour",1984
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013303,Auckland,"Auckland, Traherne I",1980
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013325,Auckland,"Auckland, Traherne I",1980
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013457,Coromandel,"Coromandels, Kopu",1983
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013347,Auckland,Helensville,1982
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013369,Auckland,Helensville,1982
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013383,Auckland,Helensville,1982
Aphididae,Neomyzus,Neomyzus circumflexus,Actinidiaceae,Actinidia deliciosa,Exotic,PFNZ,,Auckland,"Auckland, Endt Oratia",1975
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,Nelson,"Motueka, Ingles",1975
Aphididae,Euceraphis,Euceraphis punctipennis,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,Mid canterbury,Christchurch,1979
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia,Exotic,NZAC,,Auckland,"Oratia, Endt",1975
Aphididae,Dysaphis,Dysaphis aucupariae,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,Gisborne,Gisborne,1985
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,,Te Puke,1975
Aphididae,Myzus,Myzus ornatus,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,Te Puke,
Aphididae,Acyrthosiphon,Acyrthosiphon solani,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,Auckland,Kumeu,1975
Aphididae,Aphis,Aphis nerii,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Nelson ,Hope,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia chinensis,Exotic,PANZ,,Auckland,,1979
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Neomyzus,Neomyzus circumflexus,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Nelson ,,
Aphididae,Cavariella,Cavariella aegopodii,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Nelson ,,
Aphididae,Macrosiphum,Macrosiphum euphorbiae,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Nelson ,,
Aphididae,Myzus,Myzus persicae,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Nelson ,,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Waikato,,
Aphididae,Metopolophium,Metopolophium dirhodum,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,,,
Aphididae,Neomyzus,Neomyzus circumflexus,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,,,
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007668,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007671,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007674,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007701,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007734,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007737,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007740,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007743,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007746,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007747,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007749,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007750,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007752,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007753,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007755,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007756,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007758,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007759,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007761,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007762,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007764,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007765,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02007767,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia chinensis,Exotic,NZAC,NZAC02007768,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2008
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006549,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006616,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006619,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006640,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006643,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006646,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006613,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Diaspididae,Aonidiella,Aonidiella aurantii,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000337,Bay of Plenty,"Tauranga, Tauranga city, Cambridge  Rd",1978
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000804,Auckland,"West Auckland, Kumeu Research Orchard",1991
Diaspididae,Aspidiotus,Aspidiotus nerii,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001333,Auckland,"Auckland, Oratia Research Orchard",1978
Diaspididae,Aspidiotus,Aspidiotus nerii,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001336,Auckland,"Auckland, Oratia Research Orchard",1978
Diaspididae,Diaspidiotus,Diaspidiotus perniciosus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000723,Nelson,"Nelson, Appleby Research Orchard",1988
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000808,Wanganui,"Wanganui, Arun Park, pty Holmes",1991
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000841,Gisborne,"Gisborne, Kaiaponi Farm",1987
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000844,Gisborne,"Gisborne, Kaiaponi Farm",1987
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000847,Gisborne,"Gisborne, Kaiaponi Farm",1987
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000850,Gisborne,"Gisborne, Kaiaponi Farm",1992
Diaspididae,Hemiberlesia,Hemiberlesia lataniae,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000853,Gisborne,"Gisborne, Manutuke",1987
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001145,Auckland,"Auckland, Papakura",1970
Diaspididae,Aspidiotus,Aspidiotus nerii,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000403,Bay of Plenty,Tauranga,1978
Diaspididae,Aspidiotus,Aspidiotus nerii,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000441,Bay of Plenty,Tauranga,1982
Diaspididae,Aspidiotus,Aspidiotus nerii,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000444,Bay of Plenty,Tauranga,1982
Diaspididae,Aspidiotus,Aspidiotus nerii,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000447,Bay of Plenty,Tauranga,1979
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000998,Northland,Kerikeri,1984
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001001,Northland,Kerikeri,1984
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001004,Northland,Kerikeri,1984
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001142,Bay of Plenty,Tauranga,1971
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02000994,Bay of Plenty,Te Puke,1969
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001127,Bay of Plenty,Te Puke,1969
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02001045,Nelson,Motueka,2002
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001130,,,1977
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001133,,,1977
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001136,,,1977
Diaspididae,Hemiberlesia,Hemiberlesia rapax,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02001139,,,1977
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025386,Bay of Plenty,"Tauranga, Craigs Estate",1976
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025401,Bay of Plenty,"Tauranga, Craigs Estate",1976
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025412,Bay of Plenty,"Tauranga, Craigs Estate",1976
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025417,Bay of Plenty,"Tauranga, Craigs Estate",1976
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025379,Bay of Plenty,Tauranga,1975
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025388,Bay of Plenty,Tauranga,1976
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025396,Bay of Plenty,Tauranga,1975
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025426,Bay of Plenty,Tauranga,1975
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025428,Bay of Plenty,Tauranga,1975
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025429,Bay of Plenty,Tauranga,1975
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025435,Bay of Plenty,Tauranga,1975
Merothripidae,Merothrips,Merothrips brunneus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025441,Bay of Plenty,Tauranga,1975
Pemphigidae,Pemphigus,Pemphigus bursarius,Actinidiaceae,Actinidia deliciosa,Exotic,,,Bay of Plenty,"Te Puke, Research Orchard",1987
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022117,Bay of Plenty,"Edgecumbe, Perkins Property",1989
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022182,Bay of Plenty,"Edgecumbe, Perkins Property",1989
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02021906,Auckland,Oratia Research Orchard,1978
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02021909,Auckland,Oratia Research Orchard,1978
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02021913,Auckland,Oratia Research Orchard,1978
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022056,Auckland,Oratia Research Orchard,1978
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022233,Auckland,Oratia Research Orchard,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022256,Auckland,Oratia Research Orchard,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022037,Nelson,"Motueka, Inglis Farm",1975
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022269,Bay of Plenty,"Tauranga, ""Steele""",1978
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022273,Bay of Plenty,"Tauranga, Hocken",1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022242,Auckland,"Ranui, Ellis",1975
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022232,Bay of Plenty,Tauranga,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022234,Bay of Plenty,Tauranga,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022235,Bay of Plenty,Tauranga,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022236,Bay of Plenty,Tauranga,1977
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022238,Bay of Plenty,Tauranga,1977
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022251,Bay of Plenty,Tauranga,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022261,Bay of Plenty,Tauranga,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022263,Bay of Plenty,Tauranga,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022264,Bay of Plenty,Tauranga,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022270,Bay of Plenty,Tauranga,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022097,Auckland,Oratia,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022239,Auckland,Oratia,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022243,Auckland,Oratia,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022244,Auckland,Oratia,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022245,Auckland,Oratia,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022246,Auckland,Oratia,1976
Phlaeothripidae,Nesothrips,Nesothrips propinquus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02022262,Auckland,Oratia,1976
Pseudococcidae,Pseudococcus,Pseudococcus longispinus,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006552,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Pseudococcidae,Pseudococcus,Pseudococcus longispinus,Actinidiaceae,Actinidia arguta,Exotic,NZAC,NZAC02006555,Bay of Plenty,"Te Puke, HortResearch, 412, No 1 Line Road",2007
Thripidae,Thrips,Thrips tabaci,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02023200,Bay of Plenty,"Tauranga, Cambridge Rd",1975
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025774,Bay of Plenty,"Tauranga, Steele",1978
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025780,Bay of Plenty,"Tauranga, Steele",1978
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025634,Bay of Plenty,"Te Puke, Tustain",1977
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025741,Bay of Plenty,"Te Puke, Tustain",1977
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02025625,Auckland,"Ranui, Ellis",1975
Thripidae,Chirothrips,Chirothrips manicatus,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02026239,Bay of Plenty,Tauranga,1978
Thripidae,Scirtothrips,Scirtothrips inermis,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02026716,Nelson,Nelson,1983
Thripidae,Thrips,Thrips tabaci,Actinidiaceae,Actinidia deliciosa,Exotic,NZAC,NZAC02023497,Auckland,Oratia,1974
Aphididae,Aphis,Aphis spiraecola,Adoxaceae,Viburnum opulus,Exotic,BMNH,,Mid Canterbury,Chirstchurch,1983
Aphididae,Macrosiphum,Macrosiphum euphorbiae,Adoxaceae,Viburnum opulus,Exotic,BMNH,,Mid Canterbury,Chirstchurch,1983
Aphididae,Aphis,Aphis spiraecola,Adoxaceae,Viburnum tinus,Exotic,BMNH,,Mid Canterbury,Chirstchurch,1962
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Adoxaceae,Viburnum tinus,Exotic,NZAC,NZAC02025691,Wanganui,Palmerston North,1936
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Adoxaceae,Viburnum tinus,Exotic,NZAC,NZAC02025693,Wanganui,Palmerston North,1936
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Adoxaceae,Viburnum,Exotic,NZAC,NZAC02025734,Wanganui,Palmerston North,1936
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Adoxaceae,Viburnum,Exotic,NZAC,NZAC02025787,Wanganui,Palmerston North,1935
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Adoxaceae,Viburnum tinus,Exotic,NZAC,NZAC02025746,Waikato,Te Kuiti,1937
Thripidae,Heliothrips,Heliothrips haemorrhoidalis,Adoxaceae,Viburnum tinus,Exotic,NZAC,NZAC02025752,Waikato,Te Kuiti,1937
Aphididae,Myzus,Myzus cymbalariae,Agrypninae,Silene,Endemic,BMNH,,Auckland,Glen Eden,1972
Coccidae,Pulvinaria,Pulvinaria mesembryanthemi,Aizoaceae,Disphyma australe,Endemic,NZAC,NZAC02013922,Three Kings Islands,"Three Kings Is, Great I, Tasman Stm, track to sea",1999
Coccidae,Pulvinaria,Pulvinaria mesembryanthemi,Aizoaceae,Disphyma australe,Endemic,NZAC,NZAC02013944,Three Kings Islands,"Three Kings Is, Great I, Tasman Stm, track to sea",1999
Coccidae,Pulvinaria,Pulvinaria mesembryanthemi,Aizoaceae,Disphyma australe,Endemic,NZAC,NZAC02013966,Three Kings Islands,"Three Kings Is, Great I, Tasman Stm, track to sea",1999
Coccidae,Pulvinaria,Pulvinaria mesembryanthemi,Aizoaceae,Disphyma australe,Endemic,NZAC,NZAC02013988,Three Kings Islands,"Three Kings Is, Great I, Tasman Stm, track to sea",1999
Coccidae,Pulvinaria,Pulvinaria mesembryanthemi,Aizoaceae,Disphyma australe,Endemic,NZAC,NZAC02013658,Wellington,"Wellington, Eastbourne",2002
Coccidae,Pulvinaria,Pulvinaria mesembryanthemi,Aizoaceae,Disphyma australe,Endemic,NZAC,NZAC02013680,Wellington,"Wellington, Eastbourne",2002
Coccidae,Pulvinaria,Pulvinaria mesembryanthemi,Aizoaceae,Mesembryanthemum crystallinum,Exotic,NZAC,NZAC02013665,Auckland,"Auckland, St Heliers",1987
